Reference Type,Author,Year,Chapter Title,Book Editor,Book Title,Place Published,Publisher,Volume,Number of Volumes,Page Range,Chapter Number,Edition,Translator,ISBN,DOI,Reprint Edition,WorldCat URL,Publisher URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Translated Author,Translated Title,Language,Editing Tags
Book Chapter,,2005,Catholicism: Jesuits,"Hutson, James H.",The Founders on Religion: A Book of Quotations,"Princeton, NJ; Woodstock, NY",Princeton University Press,,,44–45,,,,9780691133836|0691133832,,,http://worldcat.org/oclc/60644658,,,18th century,History -- Church History|ignatius of Loyola -- Biography|Identity,North America -- USA,,"Until now, there has been no reliable and impartial compendium of the founders' own remarks on religious matters. A lively collection of quotations on everything from the relationship between church and state to the status of women, The Founders on Religion is the most comprehensive and trustworthy resource available on this timely topic.",,,,,English,KEEP|REVIEW
Book Chapter,,2007,"Gregor von Valencia (1549–1603): De Scientia Dei, et de Praedestinatione; Theses bipartitae","Lehner, Ulrich L.",Die scholastische Theologie im Zeitalter der Gnadenstreitigkeiten,Nordhausen,Traugott Bautz,"I: Neue Texte von Diego Paez († 1582), Diego del Mármol († 1664) und Gregor von Valencia († 1603)",,195–212,,,,3883093653|9783883093659,,,,http://epublications.marquette.edu/marq_fac-book/160/,,16th century,Theology -- Scholasticism|Primary Sources|Theology -- Soteriology,Europe -- Spain,"Valencia, Gregorio de, c.1549–1603",,,,,,Latin,CULL|REVIEW
Book Chapter,,2007,A magyarországi művészet hódolata Xavéri Szent Ferenc előtt,"Molnár, Antal",Historicus Societatis Iesu: Szilas László emlékkönyv,Budapest,METEM,,,256–282,,,,9789639662186|9639662186,,,http://worldcat.org/oclc/255085879,,,16th century|17th century|18th century,Saints and Blessed -- Devotion|Arts,Europe -- Hungary,"Francis Xavier, Saint, 1506–1552",,,,,The veneration of Saint Francis Xavier in Hungarian art,Hungarian,CULL|REVIEW
Book Chapter,,2008,"Gerald Manley Hopkins, 1844–1889","Darrow, Kathy D.|Whitaker, Russel",Nineteenth-Century Literature Criticism,Detroit,Gale,189,,,,,,9780787698607|0787698601,,,http://worldcat.org/oclc/644681890,,,19th century,Arts -- Poetry|Biography -- Intellectual,Europe -- UK,"Hopkins, Gerard Manley, 1844–1889","Presents literary criticism on the works of nineteenth-century writers of all genres, nations, and cultures. Critical essays are selected from leading sources, including published journals, magazines, books, reviews, diaries, broadsheets, pamphlets, and scholarly papers. Criticism includes early views from the author's lifetime as well as later views, including extensive collections of contemporary analysis.",,,,,English,CULL|REVIEW
Book Chapter,,2008,The Total Eclipse of 1905,"Ruiz Castell, Pedro",Astronomy and Astrophysics in Spain (1850–1914),"Newcastle, UK",Cambridge Scholars,,,161–211,,,,9781847184399|1847184391,,,http://worldcat.org/oclc/236084835,,,20th century,Sciences -- Astronomy|History -- Regional,Europe -- Spain,,,,,,,English,CULL|REVIEW
Book Chapter,,2008,Astronomy and Religion,"Ruiz Castell, Pedro",Astronomy and Astrophysics in Spain (1850–1914),"Newcastle, UK",Cambridge Scholars,,,68–88,,,,9781847184399|1847184391,,,http://worldcat.org/oclc/236084835,,,19th century|20th century,Sciences -- Astronomy|Theology -- Cosmology,Europe -- Spain,,,,,,,English,CULL|REVIEW
Book Chapter,,2010,Intra-Jesuit Debate on the Meaning of Recusancy,"Crosignani, Ginevra|McCoog, Thomas M.|Questier, Michael C.|Holmes, Michael C.",Recusancy and Conformity in Early Modern England: Manuscript and Printed Sources in Translation,Toronto,Pontifical Institute of Mediaeval Studies,,,279–284,,,,9780888441706|0888441703,,,http://worldcat.org/oclc/489953344,,,16th century|17th century,Controversies -- Anglicanism|History -- Regional|Primary Sources,Europe -- UK -- England,"Garnet, Henry, 1555–1606|Persons, Robert, 1546–1610|Acquaviva, Claudio, 1543–1615",,Winner of Canadian Historical Association Wallace K. Ferguson Prize 2010.|Documents in Latin or English; Latin documents are provided with English translations. Introduction and notes in English.,,,,English,KEEP|REVIEW
Book Chapter,,2010,Jesuit Sermons,"Lofaro, Michael A.|Davis, Richard Beale|Barringer, George M.|Hancock, Sandra G.",,"Knoxville, TN","Newfound Press, University of Tennessee Libraries",,,,,,,9780979729263|0979729262,,,http://worldcat.org/oclc/688479605,,,16th century|17th century,Foreign Missions -- Writings -- Sermons|Foreign Missions -- Ministries -- Preaching|Foreign Missions -- Primary Sources,North America -- USA,,"Southern Manuscript Sermons before 1800 is the first guide to the study of the manuscript sermon literature of the Southern colonies/states of Maryland, Virginia, North Carolina, South Carolina, and Georgia. The bibliography contains entries for over 1,600 sermons by over a hundred ministers affiliated with eight denominations. The compilation provides a previously unavailable major tool for research into the early South. Richard Beale Davis began the bibliography in 1946 as part of his research for Intellectual Life in the Colonial South, 1585–1763, which won the National Book Award in history. Michael A. Lofaro took over the project in 1976, expanded the colonial entries (pre-1764), and added the period of 1764–1799. George M. Barringer contributed entries for Jesuit sermons. Sandra G. Hancock contributed those for Thomas Cradock. The bibliography is also available online (dlc.lib.utk.edu/sermons). This database contains the same in-depth descriptions of these sermons, over 90 percent of which are unknown. It provides multiple avenues of access. Searches can be constructed and limited by single or combined criteria of author, repository, book of the Bible, date, state, denomination, keyword, and short title. Scholars can employ both versions of this tool to construct a more complete picture of the southern mind before 1800 and to reveal how that mind contributes to a national ethos. The bibliography will aid many disciplines -- religion, cultural and American studies, history, literature, political science, sociology, psychology, and more -- and all those who wish to interpret the past and its effect upon the present. It will lead to a more balanced appraisal of American intellectual history by encouraging access to a large body of southern sermons to place alongside those of the northern and middle states for critical assessment. - Publisher.",George M. Barringer contributed entries for Jesuit sermons.,,,,English,KEEP|REVIEW
Book Chapter,,2010,"Dulles, Avery Robert","Markoe, Arnie|Markoe, Karen|Jackson, Kenneth T.",The Scribner Encyclopedia of American Lives,New York,Charles Scribner's Sons,8,,,,,,9780684316000|0684316005,,,http://worldcat.org/oclc/470259378,,,20th century,Biography|Literature -- Encyclopedia,North America -- USA,"Dulles, Avery, 1918–2008",Presents original scholarly biographies of notable Americans. Profiles careers and achievements as well as biographical data including family members; educational background; names of spouses and marriage and divorce dates; addresses of residences; and cause of death and place of burial.,,,,,English,CULL|REVIEW
Book Chapter,,2010,"Drinan, Robert Frederick","Markoe, Arnie|Markoe, Karen|Jackson, Kenneth T.",The Scribner Encyclopedia of American Lives,New York,Charles Scribner's Sons,,,,,,,9780684316000|0684316005,,,http://worldcat.org/oclc/470259378,,,20th century,Biography|Literature -- Encyclopedia,North America -- USA,"Drinan, Robert F., 1920–2007",Presents original scholarly biographies of notable Americans. Profiles careers and achievements as well as biographical data including family members; educational background; names of spouses and marriage and divorce dates; addresses of residences; and cause of death and place of burial.,,,,,English,CULL|REVIEW
