Reference Type,Author of Review,Year,Title of Review,Title of Journal,Volume,Issue,Page Range,Reviewed Author,Reviewed Editor,Reviewed Translator,Reviewed Title,Epub Date,Date,ISSN,DOI,WorldCat URL,Publisher URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Translated Author,Translated Title,Language,Editing Tags
Book Review,,2006,Review of: Tempo e vita eterna: Karl Rahner e l'apertura del pensiero,Gregorianum,87,3,659–660,"Salatiello, Giorgia",,,Tempo e vita eterna: Karl Rahner e l'apertura del pensiero,,,0017-4114,10.2307/23582251,,http://www.jstor.org/stable/23582251,,20th century,Theology -- Anthropology|Theology -- Systematic,,"Rahner, Karl, 1904–1984",,,,,,Italian,CULL|REVIEW
Book Review,,2006,Review of: Remembering Iñigo: Glimpses of the Life of Saint Ignatius of Loyola; The Memoriale of Luis Gonçalves da Câmara,The Way,45,3,113,,,"Eaglestone, Alexander|Munitiz, Joseph A.",Remembering Iñigo: Glimpses of the Life of Saint Ignatius of Loyola; The Memoriale of Luis Gonçalves da Câmara,,July,0043-1575,,,http://www.theway.org.uk/back/453Randall.pdf,,16th century,Ignatius of Loyola -- Biography|Writings -- Memorials,,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,English,CULL|REVIEW
Book Review,,2006,Review of: Cross Connections: Interdisciplinary Communications Studies at the Gregorian University,Gregorianum,87,3,660–661,,"Srampickal, Jacob|Mazza, Giuseppe|Baugh, Lloyd",,Cross Connections: Interdisciplinary Communications Studies at the Gregorian University,,,0017-4114,10.2307/23582253,,http://www.jstor.org/stable/23582253,,20th century|21st century,Education -- Universities -- History -- Local|Education -- Universities -- Research -- Philosophy|Education -- Universities -- Research -- Theology,Europe -- Italy -- Rome,"Kolvenbach, Peter-Hans, 1928–2016|Henrici, Peter, 1928–|Martini, Carlo Maria, 1927–2012",,,,,,Italian,CULL|REVIEW
Book Review,,2007,Review of: Diccionario de espiritualidad ignaciana,Gregorianum,88,4,923–924,,"García de Castro Valdés, José",,Diccionario de espiritualidad ignaciana,,,0017-4114,10.2307/23582832,,http://www.jstor.org/stable/23582832,,16th century|21st century,Spirituality -- Ignatius of Loyola|Writings -- Dictionaries,,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,Spanish,CULL|REVIEW
Book Review,,2014,Review of: Evangelii gaudium,Keresztény szó,25,3,,Francis,,,Evangelii gaudium,,March,,,,,,21st century,Popes -- Encyclicals,,"Francis, Pope, 1936–",,,,,,Hungarian,CULL|REVIEW
Book Review,,2014,Review of: And Touching Our Society”: Fashioning Jesuit Identity in Early Modern England,Journal of Jesuit Studies,1,2,305–307,"McCoog, Thomas M.",,,And Touching Our Society”: Fashioning Jesuit Identity in Early Modern England,,,2214-1324|2214-1332,10.1163/22141332-00102011,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00102011,,16th century|17th century,Foreign Missions -- Identity,Europe -- UK -- England,"Campion, Edmund, Saint, 1540–1581|Persons, Robert, 1546–1610",,,,,,English,KEEP|REVIEW
Book Review,"Ackley-Christensen, Rosemary",2006,Review of: Why Have You Come Here? The Jesuits and the First Evangelization of Native America,History (USA),35,1,27,"Cushner, Nicholas P.",,,Why Have You Come Here? The Jesuits and the First Evangelization of Native America,,,0361-2759|1930-8280,10.1080/03612759.2006.10526988,,http://www.tandfonline.com/doi/abs/10.1080/03612759.2006.10526988#.U_yNX_ldVws,,16th century|17th century|18th century,Foreign Missions -- History -- Regional|Foreign Missions -- Native Americans|Foreign Missions -- Evangelization -- Strategies,North America|South America,,,,,,,English,KEEP|REVIEW
Book Review,"Adler, Franklin Hugh",2013,Review of: Pouring Jewish Water into Fascist Wine: Untold Stories of (Catholic) Jews from the Archive of Mussolini's Jesuit Pietro Tacchi Venturi,Holocaust and Genocide Studies,27,2,331–334,"Maryks, Robert A.",,,Pouring Jewish Water into Fascist Wine: Untold Stories of (Catholic) Jews from the Archive of Mussolini's Jesuit Pietro Tacchi Venturi,,Fall,1476-7937,,,http://muse.jhu.edu/journals/holocaust_and_genocide_studies/v027/27.2.adler.html,,20th century,Politics -- Fascism -- Jews,Europe -- Italy,"Tacchi Venturi, Pietro, 1861–1956",,Oxford University Press,,,,English,KEEP|REVIEW
Book Review,"Afinogenov, Gregory",2017,Review of: An Academy at the Court of the Tsars: Greek Scholars and Jesuit Education in Early Modern Russia,Journal of Jesuit Studies,4,2,327–329,"Chrissidis, Nikolaos",,,An Academy at the Court of the Tsars: Greek Scholars and Jesuit Education in Early Modern Russia,,,2214-1324|2214-1332,10.1163/22141332-00402008-11,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00402008-11,,16th century|17th century|18th century,Foreign Missions -- History -- Regional|Foreign Missions -- Politics -- Court Life|Foreign Missions -- Education -- Schools,Asia -- Russia|Europe -- Russia,"Suárez, Cipriano, 1524–1593|Toledo, Francisco de, 1532–1596",,,,,,English,KEEP|REVIEW
Book Review,"Agmon, Danna",2017,"Review of: Les missions jésuites dans l’Océan Indien: Madagascar, La Réunion, Maurice",Journal of Jesuit Studies,4,2,336–338,"Nicaise, Stéphane",,,"Les missions jésuites dans l’Océan Indien: Madagascar, La Réunion, Maurice",,,2214-1324|2214-1332,10.1163/22141332-00402008-14,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00402008-14,,17th century|18th century|19th century|20th century,Foreign Missions -- History -- Regional|Foreign Missions -- Evangelization -- Strategies,Africa -- Madagascar,,,,,,,English,KEEP|REVIEW
Book Review,"Agnew, Christopher S.",2012,Review of: A Jesuit in the Forbidden City: Matteo Ricci 1552–1610,History (USA),40,2,55–56,"Hsia, R. Po-chia",,,A Jesuit in the Forbidden City: Matteo Ricci 1552–1610,,,0361-2759|1930-8280,,http://www.worldcat.org/oclc/4824628930,,,16th century|17th century,Foreign Missions -- Biography,Asia -- China,"Ricci, Matteo, 1552–1610",,,,,,English,KEEP|REVIEW
Book Review,"Aguilera Hernández, Alberto",2012,"Review of: El jesuita Vicente Requeno (1743–1811), restaurador del mundo grecolatino",Artigrama,,27,656–657,,"Astorgano Abajo, Antonio",,"El jesuita Vicente Requeno (1743–1811), restaurador del mundo grecolatino",,,0213-1498|2444-3751,,,http://www.unizar.es/artigrama/html_dig/27.html,,18th century|19th century,Biography|Arts -- Art History,Europe -- Spain -- Aragon -- Zaragoza -- Calatorao|Europe -- Italy,"Requeno y Vives, Vicente, 1743–1811",,,,,,Spanish,CULL|REVIEW
