Reference Type,Author,Year,Title,Place Published,Publisher,Volume,Number of Volumes,Number of Pages,Editor,Edition,Translator,ISBN,DOI,Reprint Edition,WorldCat URL,Publisher URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Translated Author,Translated Title,Language,Editing Tags
Book,,2006,Saint Joseph Catholic Church: A Living History,"Macon, GA",Indigo Custom,,,192,,,,097767116X|9780977671168,,,http://worldcat.org/oclc/123956035,,,19th century|20th century|21st century,History -- Local,North America -- USA -- Georgia -- Macon,,,,,,,English,CULL|REVIEW
Book,,2006,"The Jesuit Tradition: Values and Spirituality in Education; August 20th–21st, Manresa Conference Center","Saint Louis, MO",Saint Louis University,,,,,,,,,,http://worldcat.org/oclc/122932182,,,21st century,Education -- Identity|Education -- Spirituality,North America -- USA -- Missouri -- Saint Louis,,,|Type of Work:  Conference publication,,,,English,KEEP|REVIEW
Book,"Vereb, Jerome M.",2006,Because He Was a German!: Cardinal Bea and the Origins of Catholic Engagement in the Ecumenical Movement,"Grand Rapids, MI",W. B. Eerdmans,,,,,,,080282885X|9780802828859,,,http://worldcat.org/oclc/63703827,,,20th century,,Europe -- Germany,"Bea, Augustin, 1881–1968",,,,,,English,CULL|REVIEW
Book,,2007,São Francisco Xavier: Nos 500 anos do nascimento de São Francisco Xavier; Da Europa para o mundo 1506–2006,Porto,"Centro Interuniversitário de História da Espiritualidade, Universidade do Porto",,,142,,,,9789729967016|9729967016,,,http://worldcat.org/oclc/901078455,,,16th century|17th century|18th century|19th century|20th century|21st century,Saints and Blessed|Biography|Foreign Missions,,"Francis Xavier, Saint, 1506–1552",,,,,,Portuguese,CULL|REVIEW
Book,,2009,"Padre Giulio Aleni S.J.: Il Confucio d'Occidente; Atti del convegno nazionale di studi (Brescia, 12 settembre 2007)",Brescia,Fondazione Civiltà Bresciana,,,71,,,,9788855900102,,,,,,17th century,Foreign Missions -- Biography|Foreign Missions -- Inculturation,Asia -- China,"Aleni, Giulio, 1582–1649",,|Type of Work:  Conference publication,,,,Italian,CULL|REVIEW
Book,,2010,Jesuitas del Perú: Anuario,Lima,"Procura Compaña de Jesús, Provincia del Perú",,,86,,,,,,,,http://www.jesuitas.pe/documentos/1316710837.Anuario%202010.pdf,,21st century,Prosopography,South America -- Peru,,,,,,,Spanish,CULL|REVIEW
Book,,2010,Para una cultura del entendimiento: Las misiones jesuíticas en Latinoamérica,"Córdoba, Argentina",Goethe-Institut Córdoba,,,405,,,"Batiston, Lorena|Schmidt, Almut",9789872231835|9872231834,,,http://worldcat.org/oclc/782965963,,,16th century|17th century|18th century,Foreign Missions -- Accommodation|Foreign Missions -- Inculturation,South America|North America,,,"Proceedings of a conference sponsored by the Goethe-Institut Córdoba.|Text span. und dt. - [Handelt sich um ein Seminar, das im Oktober 2006 vom Goethe-Institut Corodoba veranstaltet wurde].|Essays in Spanish and German.|Type of Work:  Conference publication",,,Für eine Kultur des Verstehens: Die Jesuitenmission in Lateinamerika,Spanish,CULL|REVIEW
Book,,2010,O mestre de Ocidente: Comemoração dos 400 anos da morte de Matteo Ricci,Macau,Museu de Arte de Macau,,,253,,,,9789996500367|9996500365,,,http://worldcat.org/oclc/730115448,,,16th century|17th century,Foreign Missions -- Biography|Arts -- Images,Asia -- China,"Ricci, Matteo, 1552–1610",,"Exhibition curated by Filippo Mignini, Chan Hou Seng|Issued with: Catálogo Suplementar = Supplementary Catalogue (193 pages: illustrations ; 37 cm).",,,The Master from the West: Commemorating the 400th Anniversary of the Passing of Matteo Ricci|Hai qiao ru zong Limadou: shi shi si bai zhou nian wen wu te ji [海嶠儒宗利瑪竇: 逝世四百周年文物特集],Portuguese|English|Chinese,CULL|REVIEW
Book,,2010,"Jesuitas, sacerdocio y liturgia: III Congreso de la Asociación Internacional Jungmann para Jesuitas y Liturgia; Abadía de Montserrat-Cataluña, España, Junio 23–28 de 2008",Mexico City,Obra Nacional de la Buena Prensa,,,94,,,,,,,http://worldcat.org/oclc/725613483,,,21st century,Liturgy|Institute -- Priesthood,,,,|Type of Work:  Conference publication,,,,Spanish,CULL|REVIEW
Book,,2010,Hai qiao ru zong [海嶠儒宗. 别册],Macau,Museu de Arte de Macau,,,193,,,,,,,http://worldcat.org/oclc/730115317,,,16th century|17th century,Foreign Missions -- Biography,Asia -- China -- Macau,"Ricci, Matteo, 1552–1610",,"Other title: Limadou shi shi si bai zhou nian wen wu te ji|In Portuguese, English and Chinese; translated from Chinese.",,,,Chinese,CULL|REVIEW
