Reference Type,Author,Year,Title,Place Published,University,Number of Pages,Thesis Type,ISBN,WorldCat URL,University URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Language,Editing Tags
Dissertation,"Abdel-Nour, Fadi",2009,Vérité et amour: Une lecture de 'La théologique' de Hans Urs von Balthasar,Montreal,University of Montreal,472,PhD diss.,,,http://hdl.handle.net/1866/6496,,20th century,Theology -- Dogmatic,,"von Balthasar, Hans Urs, 1905–1988",,"|Academic Department:  Theology|Advisor:  Couture, Denise",,French,CULL|REVIEW
Dissertation,"Abé, Takao",2007,The Jesuit Mission to New France: A New Interpretation in the Light of the Earlier Jesuit Experience in Japan,"Leeds, UK",University of Leeds,,PhD diss.,,http://worldcat.org/oclc/500345620,,,16th century|17th century,Foreign Missions -- History -- Regional|Foreign Missions -- Historiography,North America -- Canada -- Québec|North America -- USA|Asia -- Japan,,,"Published by Brill, 2011",,English,KEEP|REVIEW
Dissertation,"Abi Zeid, Walid",2015,The Incarnation and the Historical Sacramentality of the Person in Jean Daniélous's Thought,Rome,Pontificia Università Lateranense,133,PhD diss.,,http://worldcat.org/oclc/949164307,,,,Theology -- Dogmatic -- Incarnation|Theology -- Christology|Theology -- Anthropology,Europe -- France,"Daniélou, Jean, 1905–1974",,,,English,CULL|REVIEW
Dissertation,"Abril, Michael Anthony",2015,The Beginning of the End: Original Sin and Apocalypse in View of Karl Rahner and René Girard,,University of Notre Dame,,PhD diss.,,,http://etd.nd.edu/ETD-db/theses/available/etd-04112015-115002/,,,Theology -- Dogmatic|Theology -- Sin|Theology -- Anthropology,,"Rahner, Karl, 1904–1984","In this contemporary retrieval of the Christian doctrine of original sin oriented toward an apocalyptic perspective, we pursue a deeper understanding of this doctrine that is built upon a rigorous and critical retrieval of the ideas of Karl Rahner and René Girard. Their diverse insights reveal the historicity of sin in a remarkable way. They show not only that the universality of original sin is grounded upon the fact that sin happened at the beginning of human history, but also that the concrete historical effects of our decisions continue to have a deleterious influence upon the exercise of human freedom, such that all of our decisions are codetermined by a prior history of guilt and distorted desire. Sin truly has a history, and our concrete actions are the means by which this history makes progress toward our death and self-annihilation. At the same time, from within human history the truth of the Gospel struggles against the escalation of sin and works to bring human history out of the meaninglessness of evil and toward realizing and revealing the deeper meaning of the world in view of the eschatological future.|Rather than reducing the truth of original sin to a simple formula, we proceed by showing the complex and profound interrelation of several different theological aspects. Guided by Rahner and Girard and in conversation with contemporary viewpoints, we explore issues of human evolution, history, freedom, desire, and the ways in which society and culture incline us toward sin. We then constructively expand upon these ideas. Linking Rahner’s theology with Girard’s apocalyptic perspective, we illustrate the ways in which sin continues to make progress in our world: by infiltrating and distorting our naturally-good desires, aesthetic systems, societal institutions, and even our very biological nature.|These reflections are ultimately directed toward combining a deeper appreciation of divine grace with a revitalized Christian ethic of striving toward justice even in the face of escalating violence. By our actions for a better world, we hope for the transcendent and apocalyptic victory of divine love over original sin.","|Academic Department:  Theology|Advisor:  O'Regan, Cyril",,English,KEEP|REVIEW
Dissertation,"Ackerman, Robert Steven",2007,Genetic Engineering: A Fundamental Moral Approach,New York,Fordham University,269,PhD diss.,,,http://fordham.bepress.com/dissertations/AAI3255036,,20th century|21st century,Theology -- Moral|Sciences -- Genetics -- Controversies,,"Rahner, Karl, 1904–1984","This dissertation contends that the fundamental moral themes of the relationship between nature and person and the relationship between faith and reason can be used to retrieve a natural law approach that adequately addresses the weaknesses of two models of creation, the stewardship position and the created co-creator position, that have been used to assess the limits and possibilities of genetic engineering in human beings. This revised natural law approach, in turn, specifies a third model of creation that I have termed ""limited co-creator."" As a corrective to these earlier models, the limited co-creator model steers a course between the extremes of a stewardship position that severely restricts genetic manipulation and a created co-creator position that some advocates have used to justify unlimited genetic manipulation.|Relying on the insights of such theologians as Karl Rahner, Wilhem Korff, and Franz Böckle, this investigation argues that a retrieved natural law position is grounded by a properly construed relationship between nature and person where nature is foundational to person and person functions as the sufficient criterion for the universality of moral judgment. It also argues that this properly construed relationship between nature and person presupposes a theological horizon that inspires reason and is further specified by it. Klaus Demmer's anthropological implications of faith are used in this study to guide moral reason in its assessment of the four types of genetic engineering potentially available to human beings, including somatic cell therapy, germ-line gene therapy, enhancement somatic engineering, and germ-line enhancement, prior to going down the clinical path. The limited co-creator model that is specified by this approach avoids a naturalism that makes nature normative, a naïve rationalism that rejects the insights of faith, and an isolating fideism that marginalizes reason by making the insights of faith impervious to analysis.","|Academic Department:  Theology|Advisor:  Kopfensteiner, Thomas R.",,English,CULL|REVIEW
Dissertation,"Adamczak, Alicia",2009,De Paris à Rome: Jean-Baptiste Théodon (1645–1713) et la sculpture française après Bernin,Paris,Université Paris-Sorbonne,,PhD diss.,,,,,17th century|18th century,Arts -- Sculpture -- History,Europe -- Italy -- Rome,,"Sculpteur du règne de Louis XIV, Jean-Baptiste Théodon (1645–1713) se rattache à l’école française autant qu’à l’école romaine de sculpture. Formé auprès de Charles Le Brun à la Manufacture royale des Gobelins, il y rencontre Jean-Baptiste Colbert qui devient son premier mécène. Protégé par ce dernier qui l’envoie en Italie, Théodon rejoint en 1677 l’Académie de France à Rome où il sculpte pour Louis XIV et le château de Versailles. Parallèlement il prend part à la vie académique romaine. Membre actif de l’Accademia di San Luca et de la congrégation des Virtuosi al Pantheon, Théodon devient l’un des sculpteurs les plus recherchés de la Rome de la fin du Seicento, sollicité par les papes Innocent XII et Clément XI à Saint-Pierre de Rome et au Latran, et par les congrégations et les ordres religieux au Gesù et au Monte di Pietà. Appelé par Louis XIV, il revient à Paris en 1705 et contribue, durant ses dernières années, à la décoration des Maison royales de Marly et de Meudon. Abordant avec brio l’allégorie et la sculpture animalière pour Colbert, la mythologie et le genre historique pour Louis XIV, la sculpture funéraire et l’art du portrait pour Christine de Suède, le sculpteur s’illustre avant tout dans l’art religieux. Brillante personnalité artistique du XVIIe siècle, Théodon méritait une étude. Nous avons considéré sa vie et sa carrière, analysé sa manière et établi le corpus exhaustif de son œuvre.| |Jean-Baptiste Théodon (1645–1713) was a French sculptor of the reign of Louis XIV who belonged both to the French and Italian schools of sculpture of the Seventeenth-Century. In the 1670’s during his training at the ‘Manufacture des Gobelins’ he worked under the supervision of Charles Le Brun and met the minister Jean-Baptiste Colbert. In 1677 he joined the French Academy in Rome where he carved garden sculptures for royal estates and for his protector Colbert. Early in his Roman carrier he was made member of the Academy of St Luke and member of the Congregazione dei Virtuosi al Pantheon where he met Bernini, the architect Carlo Fontana and the painter Carlo Maratta. Appreciated by the Pope Innocent XII he obtained several commissions at Saint-Peter’s (Baptismal chapel, Monument to Christine of Sweden) and at the same time he worked for the Jesuits at the Sant’Ignazio chapel at the Gesù. As one of the most significant sculptors of the end of the Roman Seicento he dedicated his last years in Rome to the pope Clement XI and the papal basilica before his return to Paris in 1705 where he worked for the Sun King and the ‘Maisons’ of Meudon and Marly. With the same maestria Jean-Baptiste Théodon carved allegories for Colbert, mythological and historical figures for Louis XIV, funeral sculptures and portrait for Christine of Sweden as well as works of art for Roman churches. The Ph.D. dissertation consists of a study of the career of the sculptor with an analysis of his artistic manner and its evolution from Paris to Rome. In addition the thesis includes the complete ‘catalogue raisonné’ of his works, sculptures and drawings.","Titre provenant de l'écran-titre. - Thèse confidentielle jusqu'au 05 décembre 2013|Academic Department:  Art History|Advisor:  Mérot, Alain",,French,CULL|REVIEW
Dissertation,"Adamson, Christopher",2014,'Sorrow's springs are the same': Synoeciosis in the Poetry of Alfred Tennyson and Gerard Manley Hopkins,"Corvallis, OR",Oregon State University,,PhD diss.,,,http://hdl.handle.net/1957/49274,,,Literature -- Poetry -- Theory|Theology -- Christology,,"Hopkins, Gerard Manley, 1844–1889","Tennyson and Hopkins scholarship is dominated by a focus on antithetical dichotomies. Tennyson's speakers are fractured selves focused on the gap between matter and spirit, faith and reason, solitude and community. Likewise, Hopkins' doubled vocation as priest and poet is presented as a contradiction to the point that the transition from his early nature sonnets to his later terrible sonnets is seen as analogous of that conflict. However, both poets tend to represent contraries through the figure of synoeciosis rather than antithesis. Synoeciosis is the coupling of two contraries without the intention to oppose them. Rather than being a contradiction for its own sake, synoeciosis serves to illuminate a hidden truth, much like its parent figure, paradox. In this thesis, the poetry of Tennyson and Hopkins are read through the hermeneutic of synoeciosis, with the purpose of moving beyond dialectical thinking. Following Hopkins' writings on mystery and Giorgio Agamben's presentation of the influence of Messianic time on poetry, this thesis proposes that the Incarnation, as the coupling of the divine and human natures of Christ, is the pattern that influences all forms of doubling for these poets.","|Advisor:  Anderson, W. Chris",,English,CULL|REVIEW
Dissertation,"Agmon, Danna",2011,"An Uneasy Alliance: Traders, Missionaries, and Tamil Intermediaries in Eighteenth-Century French India","Ann Arbor, MI",University of Michigan,,PhD diss.,,,http://hdl.handle.net/2027.42/89720,,18th century,Foreign Missions -- Trade,Asia -- India|Europe -- France,,"This dissertation examines the fraught intersection of commerce and conversion in the eighteenth-century French empire in India. I analyze the profound conflicts between the state-sponsored French projects of trade and religion in the colony of Pondichéry in South India, and by doing so reveal the many internal contradictions that posed a challenge to French aspirations for colonial hegemony. This thesis is equally concerned with the roles filled by Tamil professional intermediaries, employed by French traders and missionaries alike. By juxtaposing an analysis of internal French struggles with a study of colonial go-betweens, the thesis reveals the inherent incompleteness of colonial authority. It thus contributes to our understanding of early modern empires, by suggesting that fluidly distributed and tenuously held authority are the hallmarks of such ventures. Scholars have studied early modern commercial and religious projects, but rarely in tandem. My project examines the relationship between these two efforts, and reveals that while traders of the French Compagnie des Indes and Catholic missionaries were both sent to India to advance the interests of the French Crown, agents of these groups were deeply divided about the goals and practice of empire. I argue that while traders sought to sustain the profitable status quo and insert themselves into long-standing Indian Ocean trading networks based on kinship and confession, French missionaries, and particularly the Jesuits, espoused an ideology of disruption and radical change, in an effort to reconfigure the local spiritual and social hierarchies. As a result of these fissures among the French, Tamil commercial brokers and religious interpreters were able find a central and influential place in the conflicted crevices of the French project. While recent scholarly focus on colonial mediation has studied interactions between colonizers and colonized, this project demonstrates that a study of the lives and labors of local intermediaries also sheds lights on the internal contestations which shaped the French imperial endeavor. By examining the global project of empire through a resolutely local lens, I show that the colonizing experience is not one that simply divides colonizer and colonized, but rather creates fractures within imperial institutions and among colonizing agents.",,,English,KEEP|REVIEW
Dissertation,"Aires, Joanez Aparecida",2006,História da disciplina escolar química: O caso de uma instituição de ensino secundário de Santa Catarina (1909–1942),"Florianópolis, Brazil",Universidade Federal de Santa Catarina,,PhD diss.,,http://worldcat.org/oclc/817970223,,,19th century,Education -- High Schools -- Teaching -- Chemistry|Education -- High Schools -- History -- Local,South America -- Brazil,,"Neste trabalho apresento uma pesquisa sobre a história da disciplina escolar Química numa instituição de ensino secundário catarinense no período de 1909 a 1942. O objetivo é compreender como foi sendo construída esta disciplina, quais os fatores que influenciaram essa construção e, a partir deste estudo, num lócus específico, estabelecer relações com a construção social dessa disciplina no Brasil naquele período. A metodologia empregada foi a da pesquisa histórica, tendo como pressuposto a compreensão ampliada da noção de documento. As fontes analisadas foram livros didáticos e artigos escritos pelos padres/professores, relatórios do Ginásio, jornais de circulação da época, documentos oficiais, bem como foram realizadas entrevistas com ex-alunos que estudaram no Ginásio naquele período. A fundamentação teórica a partir da qual esta pesquisa foi estruturada baseia-se nos estudos sobre História das Disciplinas Escolares (HDE), especialmente nos trabalhos de Ivor Goodson. Algumas das contribuições desta pesquisa consistem em fazer emergir questões pouco exploradas na historiografia da Educação brasileira, como a mudança ocorrida na formação dos jesuítas no final do século XIX, a qual se refletiu na construção das disciplinas da área das Ciências Físicas e Biológicas no período anterior à década de cinqüenta do século XX, na região sul do Brasil. No entanto, a questão fundamental que perpassa todo este trabalho consiste na discussão sobre a relação entre os objetivos do ensino secundário propostos no currículo oficial e a pouca relevância social que caracterizava (ou ainda caracteriza) a disciplina escolar Química no currículo real do ensino secundário brasileiro.||The purpose in this research is to build the history of the school discipline chemistry in a secondary teaching institution, in the period 1909 to 1942. The search is to understand how this discipline was being constructed, which factors influenced this construction and, by the study in a specific locus, establish connections with the social construction of this discipline in Brazil, at that period. The methodology applied was historical research, having as purpose, the amplified comprehension of document notion. The sources analyzed were didactic books and articles written by priest/professors, Secondary school reports, newspapers from that period and official documents. Interviews were realized with ex-students who took Secondary education at that period in that School. The theoretical basis supporting this research was structured on the history of School Disciplines, especially on Ivor Goodsons works. Some of these contributions consisted in bringing into view questions not much explored in Brazilian education historiography, like the change in the Jesuits formation at the end of XIX century, which reflected on the construction of the disciplines of the area of Physics and Biology Sciences in the period before the decade of the 50 s in the XX century, in the South region of Brazil. However, the main question in this work consists in a discussion about the connection between the objectives of secondary education proposed in the formal curriculum and the small social relevance that characterized (or still characterizes) the Chemistry School discipline on the real curriculum of Brazilian Secondary education.","|Academic Department:  Scientific Education and Technology|Advisor:  Ern, Edel",,Portuguese,CULL|REVIEW
Dissertation,"Akono, Francois-Xavier",2009,Explorer la théologie d'Englebert Mveng,"Chestnut Hill, MA",Boston College,"vi, 107",STL thesis,,http://worldcat.org/oclc/456566140,,,20th century,Foreign Missions -- Theology |Theology -- Biography -- Intellectual,Africa -- Cameroon,"Mveng, Engelbert, 1930–1995",,|Academic Department:  School of Theology and Ministry.,,French,CULL|REVIEW
