display_name;;name;;birth_date;;death_date
Abad, Diego José, 1727-1779;;Abad, Diego José;;1727;;1779
Abel, Heinrich, 1843-1926;;Abel, Heinrich;;1843;;1926
Abercromby, Robert, 1536-1613;;Abercromby, Robert;;1536;;1613
Abreu, Manuel, active 20th century;;Abreu, Manuel;;active 20th century;;
Acosta, José de, 1540-1600;;Acosta, José de;;1540;;1600
Acquaviva, Claudio, 1543-1615;;Acquaviva, Claudio;;1543;;1615
Acquaviva, Rodolfo, 1550-1583;;Acquaviva, Rodolfo;;1550;;1583
Acuña, Cristóbal de, 1597-c.1676;;Acuña, Cristóbal de;;1597;;c.1676
Aerts, Norbertus, 1639-1707;;Aerts, Norbertus;;1639;;1707
Agard de Champs, Étienne, 1613-1701;;Agard de Champs, Étienne;;1613;;1701
Agazzari, Alfonso, 1549-1602;;Agazzari, Alfonso;;1549;;1602
Agostini, Alberto Maria de, 1883-1960;;Agostini, Alberto Maria de;;1883;;1960
Aguilar, Gaspar de, b.1588;;Aguilar, Gaspar de;;b.1588;;
Aguilar, José de, 1652-1708;;Aguilar, José de;;1652;;1708
Aguilón, François de, 1567-1617;;Aguilón, François de;;1567;;1617
Albin, Johann, d.1620;;Albin, Johann;;;;d.1620
Albó, Xavier, 1934-;;Albó, Xavier;;1934;;
Alcázar, Bartolomé de, 1648-1721;;Alcázar, Bartolomé de;;1648;;1721
Aldea, Quintín, 1920-2012;;Aldea, Quintín;;1920;;2012
Alegre, Francisco Javier, 1729-1788;;Alegre, Francisco Javier;;1729;;1788
Aleni, Giulio, 1582-1649;;Aleni, Giulio;;1582;;1649
Aler, Paul, 1656-1727;;Aler, Paul;;1656;;1727
Alfaro, Diego de, d.1639;;Alfaro, Diego de;;;;d.1639
Alfaro, Juan, 1914-1993;;Alfaro, Juan;;1914;;1993
Alfirević, Ante, 1875-1945;;Alfirević, Ante;;1875;;1945
Allouez, Claude, 1622-1689;;Allouez, Claude;;1622;;1689
Alloza, Juan de, 1598-1666;;Alloza, Juan de;;1598;;1666
Almeida, António de, c.1557-1591;;Almeida, António de;;c.1557;;1591
Almeida, Guilherme Pompeu de, 1656-1713;;Almeida, Guilherme Pompeu de;;1656;;1713
Almeida, Luciano Mendes de, 1930-2006;;Almeida, Luciano Mendes de;;1930;;2006
Almeida, Luís de, 1525-1583;;Almeida, Luís de;;1525;;1583
Almeida, Manuel de, 1580-1646;;Almeida, Manuel de;;1580;;1646
Altamirano, Diego Francisco de, 1625-1715;;Altamirano, Diego Francisco de;;1625;;1715
Altrichter, Michal, 1965-;;Altrichter, Michal;;1965;;
Amaral, Gaspar do, 1594-1646;;Amaral, Gaspar do;;1594;;1646
Amiot, Joseph Marie, 1718-1793;;Amiot, Joseph Marie;;1718;;1793
Amézola, José Ramón de, 1906-;;Amézola, José Ramón de;;1906;;
Anchieta, José de, 1534-1597;;Anchieta, José de;;1534;;1597
Anchieta, José de, Saint, 1534-1597;;Anchieta, José de, Saint;;1534;;1597
Anderledy, Anton, 1819-1892;;Anderledy, Anton;;1819;;1892
Andrade, Alonso de, 1590-1672;;Andrade, Alonso de;;1590;;1672
Andrade, António de, 1580-1634;;Andrade, António de;;1580;;1634
Andreoli, Aurelio, 1913-1991;;Andreoli, Aurelio;;1913;;1991
Andreoni, João Antônio, 1650-1716;;Andreoni, João Antônio;;1650;;1716
Andreoni, João Antônio, 1650-1716;;Andreoni, João Antônio;;1650;;1716
Andrés y Morell, Juan, 1740-1817;;Andrés y Morell, Juan;;1740;;1817
Androzzi, Ortensio, 1528-1589;;Androzzi, Ortensio;;1528;;1589
André, Louis, 1631-1715;;André, Louis;;1631;;1715
Andrés, Giovanni, 1740-1817;;Andrés, Giovanni;;1740;;1817
Andrés, Juan, 1740-1817;;Andrés, Juan;;1740;;1817
Angier, Thomas, 1730-1788;;Angier, Thomas;;1730;;1788
Annat, Franc̦ois, 1590-1670;;Annat, Franc̦ois;;1590;;1670
Antequera y Castro, José de, 1690-1731;;Antequera y Castro, José de;;1690;;1731
Antinori, Luigi, 1697-1726;;Antinori, Luigi;;1697;;1726
Antoniewicz, Karol, 1807-1852;;Antoniewicz, Karol;;1807;;1852
Antunes, Manuel, 1918-1985;;Antunes, Manuel;;1918;;1985
Antón, Angel, 1927-;;Antón, Angel;;1927;;
Aperger, Sigismund, 1687-1772;;Aperger, Sigismund;;1687;;1772
Appleyard, Joseph A., 1931-;;Appleyard, Joseph A.;;1931;;
Aquino De Belen, Gaspar;;Aquino De Belen, Gaspar;;;;
Aquino, Antônio, 1922-1991;;Aquino, Antônio;;1922;;1991
Aquino, Marcelo Fernandes de;;Aquino, Marcelo Fernandes de;;;;
Arakiełowicz, Grzegorz, 1732-1793;;Arakiełowicz, Grzegorz;;1732;;1793
Archambault, Joseph-Papin, 1880-1966;;Archambault, Joseph-Papin;;1880;;1966
