Reference Type,Author,Year,Title,Title of Journal,Volume,Issue,Page Range,Epub Date,Date,ISSN,DOI,WorldCat URL,Publisher URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Translated Author,Translated Title,Language,Editing Tags
Journal Article,"Vanden Bosch, Gerrit",2000,Pionnen op een schaakbord? De rol van klopjes in de belangenstrijd tussen jezuïeten en seculiere priesters in de Republiek omstreeks 1609–1610,Trajecta,9,3,252–283,,,0778-8304,,https://www.worldcat.org/oclc/773551838,http://cat.inist.fr/?aModele=afficheN&cpsidt=1150541,,17th century,History -- Regional|Church -- History|Controversies -- Protestantism,Europe -- Netherlands,,,,,,,Dutch,REVIEW
Journal Article,"Tutino, Stefania",2000,Cattolicesimo elisabettiano: Note sulla storiografia recente,Storica,6,,63–84,,,,,,,,16th century|17th century|18th century|19th century|20th century|21st century,Controversies -- England|History -- Regional -- Church History,Europe -- UK,"McCoog, Thomas, 1947–|Persons, Robert, 1546–1610",,,,,,Italian,REVIEW
Journal Article,"Stupar, Lisa",2000,Implications of Bracken's Process Model of the Trinity for a Contemporary Feminist Theology,Horizons,27,2,256–275,,Fall,0360-9669,,,http://eds.a.ebscohost.com.avoserv2.library.fordham.edu/ehost/detail/detail?vid=3&sid=751dbad3-135b-4e0a-9b64-c5362a32ef02%40sessionmgr4009&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=ATLA0001277006&db=rfh,,20th century,Theology -- Feminism|Theology -- Trinity|Theology -- Method,,"Bracken, Joseph A., 1930–","One of the primary concerns of feminist theology is to promote the full humanity of women and men by questioning forms of thought that demean human persons. The Christian doctrine of a triune God is open to such critique, because it has traditionally been presented in terms that are exclusive and even oppressive to some. Joseph A. Bracken, S.J. proposes a process model of the Trinity that is significant for contemporary feminist theology, because it potentially promotes human flourishing. It does this in at least two ways. First, because this model does not rely on relationships of or- igin to distinguish the divine persons, it invites the development of inclusive metaphors that embrace human diversity. Secondly, it proposes a nonhierarchical, interrelational view of the Trinity that is arguably compatible with the faith experience of persons who are subject to any sort of oppression. Further, this model illustrates the participation of human persons in the dynamic interrelation- ship shared by the divine persons.",,,,,English,REVIEW
Journal Article,"Steenbrink, Karel",2000,Five Catholic Theologians of Indonesia in Search of an International or Local Identity,Exchange,29,1,2–22,,,1572-543X|0166-2740,10.1163/157254300X00021,https://www.worldcat.org/oclc/772710182,,,20th century,Theology -- History|Foreign Missions -- Theology,Asia -- Indonesia,"Banawiratma, Joannes Baptista, 1942–|Darmawijaya, Stanislaus, 1936–|Magnis-Suseno, Franz, 1936–|Sindhunata, Gabrièl Possenti, 1952–",,,,,,English,REVIEW
Journal Article,"Rahner, Karl",2000,Experiences of a Catholic Theologian,Theological Studies,61,1,3–15,,March,0040-5639,,,http://eds.b.ebscohost.com.avoserv2.library.fordham.edu/ehost/detail/detail?vid=3&sid=35208a87-1dbd-4ad7-a472-fcf382c464b7%40pdc-v-sessmgr01&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=ATLA0000915660&db=rfh,,20th century,Theology|Biography -- Intellectual,,"Rahner, Karl, 1904–1984","Shortly before his death in March 1984, Karl Rahner offered this brief retrospective on his life's work as a theologian in which he focused on four ""experiences"" which, as he approached the end of his life, he considered crucial to any form of theological reflection With characteristic modesty he uses these ex periences as a way of critically reviewing his own theological work Pride of place goes to what he calls the analogical nature of all theological assertions since Rahner always favored an apophatic way of speaking about God Yet this God does not remain distant but has communicated God's very self to humankind This self- communication of God, an experience of grace, is the second expe rience discussed here and constitutes for Rahner the core of the Christian message A third retrospective experience is that as a Jesuit his theology has some affinity with the spirituality of his religious order At least, that was his hope—that he would be able to incor porate some of the ""existentialism of Ignatius'' into his own way of theologizing A fourth and final experience is the ""incongruence"" of theology with the other sciences Nevertheless, if theologians are not to preoccupy themselves with a purely abstract concept of God, they will see the various natural sciences and artistic expressions such as music, visual art, and poetry as revealing the hand of God The experience of ""not-knowing, "" of not being able to provide any clear answers to a multitude of problems and questions, led Rahner to plea for a greater modesty in theological discourse ""A theology that wishes to answer all questions clearly and thoroughly is guaranteed to miss its proper 'object' "" (""Why Doing Theology Is So Difficult, "" in Karl Rahner in Dialogue, ed Paul Imhof and Hubert Biallowons [New York Crossroad, 1986] 216) This experience, in turn, is linked to a central tenet of Rahner's theology, namely, to the God of incomprehensible mystery, who cannot be explained with rationalistic clarity. Rahner concludes his retrospec- tive by returning to a familiar emphasis on God as the absolute future, a future which can be reached only through the medium of death. Death and eternal life constitute radical caesurae, which he can describe only in the paradoxical language of emptiness and fulfillment, darkness and light, question and answer.",,,,,English,KEEP
Journal Article,"Ormerod, Neil",2000,"System, History, and a Theology of Ministry",Theological Studies,61,3,432–446,,September,0040-5639,,,http://eds.b.ebscohost.com.avoserv2.library.fordham.edu/ehost/detail/detail?vid=3&sid=159cf4d6-794a-45db-be00-4785ebf26653%40sessionmgr101&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=ATLA0000021622&db=rfh,,20th century,Theology -- Ministry|Theology -- Systematic|Theology -- Method,North America -- USA -- Wisconsin -- Milwaukee,"Doran, Robert M., 1939–","Through an investigation of the theology of ministry, the author seeks to illustrate convictions previously argued by Robert Doran about a systematic theology of history. He uses the general catego- ries drawn from Doran's articles in this journal to examine briefly certain aspects of the history of ordained ministry in order to de- velop an hypothesis concerning the threefold order to bishop, pres- byter, and deacon. He also discusses and compares approaches to the question of the relationship between history and theology as articulated by Hans Kung and John Milbank.",,,,,English,REVIEW
Journal Article,"Ondruš, Rajmund",2000,ThDr. h.c. P. Emil Krapka SJ 75-ročný,Viera a život,10,4,469–472,,,1335-6771,,,,,20th century,Theology|Biography,Europe -- Slovakia,"Krapka, Emil, 1925–",,,,,,Slovak,REVIEW
Journal Article,"Mansini, Guy",2000,Balthasar and the Theodramatic Enrichment of the Trinity,The Thomist,64,4,499–519,,October,0040-6325‎,,,https://media.proquest.com/media/ch/pao/doc/1228-2000-064-04-000001/doc.pdf?cit%3Aauth=Mansini%2C+Guy&cit%3Atitle=Balthasar+and+the+Theodramatic+Enrichment+of+the+Trinity&cit%3Apub=Thomist+%3A+a+Speculative+Quarterly+Review&cit%3Avol=64&cit%3Aiss=4&cit%3Apg=499&cit%3Adate=Oct+1%2C+2000&ic=true&cit%3Aprod=ProQuest+Central+Essentials&_a=ChgyMDE4MDEwMjIwNTU1MzU1Njo5ODMwODASBjEwNTEzNxoKT05FX1NFQVJDSCINNjQuMjAyLjg3LjI1MioHMTgxODU4NjIKMTI5MTc4OTQ0MToNRG9jdW1lbnRJbWFnZUIBMFIGT25saW5lWgJGVGIDUEZUagoyMDAwLzEwLzAxcgB6AIIBKVAtMTAwNTY0MS0xMDc5Ni1DVVNUT01FUi0xMDAwMDI4MS01MjAyOTEwkgEGT25saW5lygF1TW96aWxsYS81LjAgKE1hY2ludG9zaDsgSW50ZWwgTWFjIE9TIFggMTBfMTNfMikgQXBwbGVXZWJLaXQvNjA0LjQuNyAoS0hUTUwsIGxpa2UgR2Vja28pIFZlcnNpb24vMTEuMC4yIFNhZmFyaS82MDQuNC430gESU2Nob2xhcmx5IEpvdXJuYWxzmgIHUHJlUGFpZKoCJU9TOkVNUy1Eb3dubG9hZFBkZi1nZXRNZWRpYVVybEZvckl0ZW3KAg9GZWF0dXJlfEFydGljbGXSAgFZ4gIA8gIA%2BgIBToIDA1dlYg%3D%3D&_s=l2890mJDIMGEfweOGIBpx9d6du8%3D,,20th century,Theology -- Trinity|Theology -- Aesthetics -- Drama,,"von Balthasar, Hans Urs, 1905–1988",,,,,,English,REVIEW
Journal Article,"Lake, Peter|Questier, Michael",2000,"Puritans, Papists and the 'Public Sphere' in Early Modern England: The Edmund Campion Affair in Context",Journal of Modern History,72,3,587–627,,September,00222801|15375358,10.1086/316043,,http://www.jstor.org/stable/10.1086/316043,,16th century,Controversies -- England|History -- Regional|Biography|Politics,Europe -- UK -- England,"Campion, Edmund, Saint, 1540–1581",,,,,,English,REVIEW
Journal Article,"Daly, Robert J.",2000,Robert Bellarmine and Post-Tridentine Eucharistic Theology,Theological Studies,61,2,239–260,,June,0040-5639,,,http://eds.b.ebscohost.com.avoserv2.library.fordham.edu/ehost/detail/detail?vid=3&sid=1e030a65-d59c-4e85-a1b7-312ccd291c81%40sessionmgr104&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=ATLA0000918746&db=rfh,,16th century|17th century,Theology -- Sacraments -- Eucharist|Theology -- Scholasticism,,"Bellarmino, Roberto Francesco Romolo, Saint, 1542–1621","Liturgical theologians notice that for some of the most distressingly outmoded aspects of contemporary magisterial teaching on the Eucharist, for instance, the suggestion that only the priest offers the eucharistic sacrifice, a citation trail leads back to Robert Bellarmine who, on investigation, turns out to be the primary mediator—but more messenger than originator—of some ossified post-Tridentine positions long since superseded in liturgical studies, but still present in the recent teaching documents of the Church.",,,,,English,REVIEW
Journal Article,"Beards, Andrew",2000,"Christianity, ""Interculturality,"" and Salvation: Some Perspectives from Lonergan",The Thomist,64,2,161–210,,April,0040-6325‎,,,https://search.proquest.com/docview/1291680222/fulltextPDF/939D06E4C017466CPQ/3?accountid=10796,,20th century,Theology -- Soteriology|Anthropology -- Intercultural Dialogue,,"Lonergan, Bernard J. F., 1904–1984",,,,,,English,REVIEW
