name;;sort_name
Africa;;Africa
Africa -- Algeria;;Africa -- Algeria
Africa -- Angola;;Africa -- Angola
Africa -- Angola -- Luanda;;Africa -- Angola -- Luanda
Africa -- Angola -- M'Banza Kongo;;Africa -- Angola -- M'Banza Kongo
Africa -- Benin;;Africa -- Benin
Africa -- Botswana;;Africa -- Botswana
Africa -- Botswana -- Zambezi -- Old Tati;;Africa -- Botswana -- Zambezi -- Old Tati
Africa -- Burundi;;Africa -- Burundi
Africa -- Cameroon;;Africa -- Cameroon
Africa -- Cameroon -- Yaounde -- Séminaire D'Otélé;;Africa -- Cameroon -- Yaounde -- Séminaire D'Otélé
Africa -- Cape Verde;;Africa -- Cape Verde
Africa -- Central Africa -- Democratic Republic of the Congo;;Africa -- Central Africa -- Democratic Republic of the Congo
Africa -- Chad;;Africa -- Chad
Africa -- Congo (Democratic Republic);;Africa -- Congo (Democratic Republic)
Africa -- Côte d'Ivoire;;Africa -- Côte d'Ivoire
Africa -- Democatic Republic of the Congo;;Africa -- Democatic Republic of the Congo
Africa -- Democratic Republic of the Congo;;Africa -- Democratic Republic of the Congo
Africa -- Democratic Republic of the Congo;;Africa -- Democratic Republic of the Congo
Africa -- Democratic Republic of the Congo -- Kwilu;;Africa -- Democratic Republic of the Congo -- Kwilu
Africa -- Democratic Republic of the Congo -- Lower Congo;;Africa -- Democratic Republic of the Congo -- Lower Congo
Africa -- Egypt;;Africa -- Egypt
Africa -- Egypt -- Cairo;;Africa -- Egypt -- Cairo
Africa -- Egypt -- Cairo -- Faggala -- Nahda Association;;Africa -- Egypt -- Cairo -- Faggala -- Nahda Association
Africa -- Equatorial Guinea -- Bioko;;Africa -- Equatorial Guinea -- Bioko
Africa -- Equatorial Guinea -- Fernando Po;;Africa -- Equatorial Guinea -- Fernando Po
Africa -- Eritrea;;Africa -- Eritrea
Africa -- Ethiopia;;Africa -- Ethiopia
Africa -- Ethiopia -- Gondär;;Africa -- Ethiopia -- Gondär
Africa -- France -- Réunion;;Africa -- France -- Réunion
Africa -- Ghana;;Africa -- Ghana
Africa -- Kenya;;Africa -- Kenya
Africa -- Kenya -- Kakuma Refugee Camp;;Africa -- Kenya -- Kakuma Refugee Camp
Africa -- Kenya -- Nairobi;;Africa -- Kenya -- Nairobi
Africa -- Kenya -- Nairobi -- Hekima College;;Africa -- Kenya -- Nairobi -- Hekima College
Africa -- Lesotho;;Africa -- Lesotho
Africa -- Madagascar;;Africa -- Madagascar
Africa -- Madagascar -- Antananarivo -- College of St. Michael;;Africa -- Madagascar -- Antananarivo -- College of St. Michael
Africa -- Madagascar -- Nosy Be;;Africa -- Madagascar -- Nosy Be
Africa -- Malawi;;Africa -- Malawi
Africa -- Malawi -- Dzaleka Refugee Camp;;Africa -- Malawi -- Dzaleka Refugee Camp
Africa -- Mauritius;;Africa -- Mauritius
Africa -- Morocco;;Africa -- Morocco
Africa -- Morocco -- Fez;;Africa -- Morocco -- Fez
Africa -- Mozambique;;Africa -- Mozambique
Africa -- Nigeria;;Africa -- Nigeria
Africa -- Nigeria -- Abuja;;Africa -- Nigeria -- Abuja
Africa -- North Sudan;;Africa -- North Sudan
Africa -- Rwanda;;Africa -- Rwanda
Africa -- Seychelles;;Africa -- Seychelles
Africa -- Sierra Leone;;Africa -- Sierra Leone
Africa -- South Africa;;Africa -- South Africa
Africa -- South Africa -- Grahamstown;;Africa -- South Africa -- Grahamstown
Africa -- South Africa -- Grahamstown -- St. Aidan's College;;Africa -- South Africa -- Grahamstown -- St. Aidan's College
Africa -- South Africa -- Johannesburg;;Africa -- South Africa -- Johannesburg
Africa -- South Sudan;;Africa -- South Sudan
Africa -- Sudan;;Africa -- Sudan
Africa -- Sudan -- Darfur;;Africa -- Sudan -- Darfur
Africa -- Tanzania;;Africa -- Tanzania
Africa -- Uganda;;Africa -- Uganda
Africa -- Zambia;;Africa -- Zambia
Africa -- Zambia -- Mpunde;;Africa -- Zambia -- Mpunde
Africa -- Zimbabwe;;Africa -- Zimbabwe
Africa -- Zimbabwe -- Bulawayo;;Africa -- Zimbabwe -- Bulawayo
Africa -- Zimbabwe -- Harare -- University of Zimbabwe;;Africa -- Zimbabwe -- Harare -- University of Zimbabwe
Africa -- Zimbabwe -- Zambezi;;Africa -- Zimbabwe -- Zambezi
Africa -- Angola;;Africa -- Angola
America;;America
America -- Brazil;;America -- Brazil
America -- Canada;;America -- Canada
America -- Paraguay;;America -- Paraguay
America -- United States of America;;America -- United States of America
America -- Bolivia -- Charcas;;America -- Bolivia -- Charcas
America -- Brazil;;America -- Brazil
America -- Colombia;;America -- Colombia
America -- Peru -- Lima;;America -- Peru -- Lima
Americas -- Canada;;Americas -- Canada
Americas -- El Salvador;;Americas -- El Salvador
Americas -- Paraguay;;Americas -- Paraguay
Americas -- Peru;;Americas -- Peru
Americas -- USA;;Americas -- USA
Araucanía;;Araucanía
Argentina -- Paraná;;Argentina -- Paraná
Asia;;Asia
Asia -- Afghanistan;;Asia -- Afghanistan
Asia -- Armenia;;Asia -- Armenia
Asia -- Bangladesh -- Satkhira;;Asia -- Bangladesh -- Satkhira
Asia -- Bhutan;;Asia -- Bhutan
Asia -- Cambodia;;Asia -- Cambodia
Asia -- China;;Asia -- China
Asia -- China -- Beijing;;Asia -- China -- Beijing
Asia -- China -- Beijing -- Fu Jen Catholic University;;Asia -- China -- Beijing -- Fu Jen Catholic University
Asia -- China -- Beijing -- Imperial Palace;;Asia -- China -- Beijing -- Imperial Palace
Asia -- China -- Beijing -- Nantang;;Asia -- China -- Beijing -- Nantang
Asia -- China -- Beijing -- Pei-T'ang Library;;Asia -- China -- Beijing -- Pei-T'ang Library
Asia -- China -- Beijing -- Xitang College;;Asia -- China -- Beijing -- Xitang College
Asia -- China -- Bejing;;Asia -- China -- Bejing
Asia -- China -- Canton;;Asia -- China -- Canton
Asia -- China -- Chiang-Nan;;Asia -- China -- Chiang-Nan
Asia -- China -- Formosa;;Asia -- China -- Formosa
